"Page: 126  March 10, 2016"
""
"L.223 Corporate Equities (1)"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted"
""
"","2010","2011","2012","2013","2014","2015","2014","2015","2015","2015","2015",""
"Description","","","","","","","Q4","Q1","Q2","Q3","Q4",""
"All sectors; corporate equities; asset","23242.4","22446.2","25853.8","33546.6","36771.0","35687.2","36771.0","37685.8","37547.1","34300.7","35687.2","1"
"All domestic sectors; corporate equities; liability","18342.2","17944.7","20532.0","27073.7","30051.3","28955.2","30051.3","30567.9","30261.2","27766.3","28955.2","2"
"Nonfinancial corporate business; corporate equities; liability","14002.0","13892.0","15584.6","20612.3","22730.4","21680.7","22730.4","23110.0","22748.3","20778.1","21680.7","3"
"Nonfinancial corporate business; public corporate equities less intercompany holdings; liability","11686.5","11547.5","12898.9","16890.9","18686.7","17747.2","18686.7","18740.3","18490.8","16923.6","17747.2","4"
"Nonfinancial corporate business; closely held corporate equities; liability","2315.5","2344.6","2685.7","3721.4","4043.7","3933.6","4043.7","4369.7","4257.5","3854.6","3933.6","5"
"Domestic financial sectors; corporate equities; liability","4340.2","4052.7","4947.4","6461.4","7320.9","7274.5","7320.9","7457.9","7512.9","6988.2","7274.5","6"
"Domestic financial sectors; corporate equities (excluding closely held); liability","4042.6","3781.3","4627.3","6052.2","6861.0","6827.1","6861.0","6960.9","7028.7","6549.7","6827.1","7"
"Domestic financial sectors; closely held corporate equities; liability","297.6","271.4","320.1","409.1","459.9","447.4","459.9","497.0","484.2","438.4","447.4","8"
"Rest of the world; foreign corporate equities including foreign investment fund shares; liability","4900.2","4501.4","5321.9","6472.9","6719.7","6732.0","6719.7","7118.0","7285.9","6534.4","6732.0","9"
"All sectors; corporate equities; asset","23242.4","22446.2","25853.8","33546.6","36771.0","35687.2","36771.0","37685.8","37547.1","34300.7","35687.2","10"
"Households and nonprofit organizations; corporate equities; asset","8450.7","8069.9","9401.4","12545.3","13883.1","13310.9","13883.1","14403.0","14274.3","13051.8","13310.9","11"
"Federal government; corporate equities; asset","49.9","57.8","39.9","35.1","33.4","33.4","33.4","33.3","33.5","33.4","33.4","12"
"State and local governments, excluding employee retirement funds; corporate equities; asset","126.9","124.8","138.1","162.2","173.8","180.4","173.8","176.9","178.2","172.7","180.4","13"
"Monetary authority; corporate equities; asset","26.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14"
"U.S.-chartered depository institutions; corporate equities; asset","73.6","67.4","71.3","101.3","108.5","100.8","108.5","109.0","108.1","93.5","100.8","15"
"Foreign banking offices in the U.S.; corporate equities; asset","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16"
"Property-casualty insurance companies; corporate equities; asset","214.8","220.8","252.2","310.4","325.4","313.6","325.4","320.3","316.5","302.0","313.6","17"
"Life insurance companies; corporate equities; asset","1371.6","1355.5","1502.7","1743.4","1798.4","1773.0","1798.4","1828.9","1819.5","1690.5","1773.0","18"
"Private pension funds, including 403(b) plans; corporate equities; asset","1848.0","1751.1","1973.1","2349.5","2487.5","2362.8","2487.5","2516.2","2494.6","2275.3","2362.8","19"
"Federal government retirement funds; corporate equities; asset","140.9","134.4","148.1","206.2","218.7","219.8","218.7","226.3","225.9","207.0","219.8","20"
"State and local government employee retirement funds; corporate equities; asset","1866.5","1777.4","1944.0","2332.1","2438.4","2335.6","2438.4","2473.0","2450.6","2245.2","2335.6","21"
"Mutual funds; corporate equities; asset","4762.7","4427.2","5109.4","6842.9","7377.6","7327.0","7377.6","7604.9","7683.5","6951.6","7327.0","22"
"Closed-end funds; corporate equities; asset","96.7","95.9","100.6","114.2","119.3","99.6","119.3","118.6","115.9","101.3","99.6","23"
"Exchange-traded funds; corporate equities; asset","854.1","863.8","1093.3","1427.3","1675.0","1756.4","1675.0","1741.5","1764.8","1618.9","1756.4","24"
"Security brokers and dealers; corporate equities; asset","117.2","103.2","126.7","172.4","187.8","166.8","187.8","162.9","164.2","143.3","166.8","25"
"Funding corporations; corporate equities; asset","26.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","26"
"Rest of the world; U.S. corporate equities; asset","3216.0","3397.2","3953.0","5204.4","5944.1","5706.9","5944.1","5971.0","5917.5","5414.2","5706.9","27"
"All domestic sectors; public corporate equities less intercompany holdings; liability","15729.1","15328.8","17526.2","22943.2","25547.7","24574.3","25547.7","25701.1","25519.5","23473.3","24574.3","28"
"All domestic sectors; closely held corporate equities; liability","2613.1","2616.0","3005.8","4130.5","4503.6","4381.0","4503.6","4866.7","4741.7","4293.0","4381.0","29"
"All domestic sectors; closely held S corporation corporate equities; liability","1759.9","1806.6","2066.4","2621.2","3010.4","2838.4","3010.4","3130.5","3133.5","2750.5","2838.4","30"
"All domestic sectors; closely held C corporation corporate equities; liability","853.2","809.4","939.4","1509.3","1493.2","1542.5","1493.2","1736.2","1608.2","1542.5","1542.5","31"
"Interest rates and price indexes; Dow Jones U.S. Total Market Index","15.3","-0.9","13.9","30.9","10.4","-1.5","4.7","1.3","-0.4","-7.7","5.7","32"
